"airport_code","airport_name","city","timezone"
YKS,Якутск,Якутск,Asia/Yakutsk
MJZ,Мирный,Мирный,Asia/Yakutsk
KHV,Хабаровск-Новый,Хабаровск,Asia/Vladivostok
PKC,Елизово,Петропавловск-Камчатский,Asia/Kamchatka
UUS,Хомутово,Южно-Сахалинск,Asia/Sakhalin
VVO,Владивосток,Владивосток,Asia/Vladivostok
LED,Пулково,Санкт-Петербург,Europe/Moscow
KGD,Храброво,Калининград,Europe/Kaliningrad
KEJ,Кемерово,Кемерово,Asia/Novokuznetsk
CEK,Челябинск,Челябинск,Asia/Yekaterinburg
MQF,Магнитогорск,Магнитогорск,Asia/Yekaterinburg
PEE,Пермь,Пермь,Asia/Yekaterinburg
SGC,Сургут,Сургут,Asia/Yekaterinburg
BZK,Брянск,Брянск,Europe/Moscow
MRV,Минеральные Воды,Минеральные Воды,Europe/Moscow
STW,Ставрополь,Ставрополь,Europe/Moscow
ASF,Астрахань,Астрахань,Europe/Samara
NJC,Нижневартовск,Нижневартовск,Asia/Yekaterinburg
SVX,Кольцово,Екатеринбург,Asia/Yekaterinburg
SVO,Шереметьево,Москва,Europe/Moscow
VOZ,Воронеж,Воронеж,Europe/Moscow
VKO,Внуково,Москва,Europe/Moscow
SCW,Сыктывкар,Сыктывкар,Europe/Moscow
KUF,Курумоч,Самара,Europe/Samara
DME,Домодедово,Москва,Europe/Moscow
TJM,Рощино,Тюмень,Asia/Yekaterinburg
GOJ,Стригино,Нижний Новгород,Europe/Moscow
TOF,Богашёво,Томск,Asia/Krasnoyarsk
UIK,Усть-Илимск,Усть-Илимск,Asia/Irkutsk
NSK,Норильск,Норильск,Asia/Krasnoyarsk
ARH,Талаги,Архангельск,Europe/Moscow
RTW,Саратов-Центральный,Саратов,Europe/Volgograd
NUX,Новый Уренгой,Новый Уренгой,Asia/Yekaterinburg
NOJ,Ноябрьск,Ноябрьск,Asia/Yekaterinburg
UCT,Ухта,Ухта,Europe/Moscow
USK,Усинск,Усинск,Europe/Moscow
NNM,Нарьян-Мар,Нарьян-Мар,Europe/Moscow
PKV,Псков,Псков,Europe/Moscow
KGP,Когалым,Когалым,Asia/Yekaterinburg
KJA,Емельяново,Красноярск,Asia/Krasnoyarsk
URJ,Петрозаводск,Урай,Asia/Yekaterinburg
IWA,Иваново-Южный,Иваново,Europe/Moscow
PYJ,Полярный,Удачный,Asia/Yakutsk
KXK,Хурба,Комсомольск-на-Амуре,Asia/Vladivostok
DYR,Анадырь,Анадырь,Asia/Anadyr
PES,Бесовец,Петрозаводск,Europe/Moscow
KYZ,Кызыл,Кызыл,Asia/Krasnoyarsk
NOZ,Спиченково,Новокузнецк,Asia/Novokuznetsk
GRV,Грозный,Грозный,Europe/Moscow
NAL,Нальчик,Нальчик,Europe/Moscow
OGZ,Беслан,Владикавказ,Europe/Moscow
ESL,Элиста,Элиста,Europe/Moscow
SLY,Салехард,Салехард,Asia/Yekaterinburg
HMA,Ханты-Мансийск,Ханты-Мансийск,Asia/Yekaterinburg
NYA,Нягань,Нягань,Asia/Yekaterinburg
OVS,Советский,Советский,Asia/Yekaterinburg
IJK,Ижевск,Ижевск,Europe/Samara
KVX,Победилово,Киров,Europe/Moscow
NYM,Надым,Надым,Asia/Yekaterinburg
NFG,Нефтеюганск,Нефтеюганск,Asia/Yekaterinburg
KRO,Курган,Курган,Asia/Yekaterinburg
EGO,Белгород,Белгород,Europe/Moscow
URS,Курск-Восточный,Курск,Europe/Moscow
LPK,Липецк,Липецк,Europe/Moscow
VKT,Воркута,Воркута,Europe/Moscow
UUA,Бугульма,Бугульма,Europe/Moscow
JOK,Йошкар-Ола,Йошкар-Ола,Europe/Moscow
CSY,Чебоксары,Чебоксары,Europe/Moscow
ULY,Ульяновск-Восточный,Ульяновск,Europe/Samara
OSW,Орск,Орск,Asia/Yekaterinburg
PEZ,Пенза,Пенза,Europe/Moscow
SKX,Саранск,Саранск,Europe/Moscow
TBW,Донское,Тамбов,Europe/Moscow
UKX,Усть-Кут,Усть-Кут,Asia/Irkutsk
GDZ,Геленджик,Геленджик,Europe/Moscow
IAR,Туношна,Ярославль,Europe/Moscow
NBC,Бегишево,Нижнекамск,Europe/Moscow
ULV,Баратаевка,Ульяновск,Europe/Samara
SWT,Стрежевой,Стрежевой,Asia/Krasnoyarsk
EYK,Белоярский,Белоярский,Asia/Yekaterinburg
KLF,Калуга,Калуга,Europe/Moscow
RGK,Горно-Алтайск,Горно-Алтайск,Asia/Krasnoyarsk
KRR,Краснодар,Краснодар,Europe/Moscow
MCX,Уйташ,Махачкала,Europe/Moscow
KZN,Казань,Казань,Europe/Moscow
REN,Оренбург-Центральный,Оренбург,Asia/Yekaterinburg
UFA,Уфа,Уфа,Asia/Yekaterinburg
OVB,Толмачёво,Новосибирск,Asia/Novosibirsk
CEE,Череповец,Череповец,Europe/Moscow
OMS,Омск-Центральный,Омск,Asia/Omsk
ROV,Ростов-на-Дону,Ростов-на-Дону,Europe/Moscow
AER,Сочи,Сочи,Europe/Moscow
VOG,Гумрак,Волгоград,Europe/Volgograd
BQS,Игнатьево,Благовещенск,Asia/Yakutsk
GDX,Магадан,Магадан,Asia/Magadan
HTA,Чита,Чита,Asia/Chita
BTK,Братск,Братск,Asia/Irkutsk
IKT,Иркутск,Иркутск,Asia/Irkutsk
UUD,Байкал,Улан-Удэ,Asia/Irkutsk
MMK,Мурманск,Мурманск,Europe/Moscow
ABA,Абакан,Абакан,Asia/Krasnoyarsk
BAX,Барнаул,Барнаул,Asia/Krasnoyarsk
AAQ,Витязево,Анапа,Europe/Moscow
CNN,Чульман,Нерюнгри,Asia/Yakutsk
